round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
15,1920,2019-12-14,1,Hertha BSC,0.7,1,0,0.8,Freiburg,37343,Olympiastadion Berlin,Frank Willenborg
15,1920,2019-12-14,1,Mainz 05,0.2,0,4,1.2,Dortmund,33305,Opel Arena,Benjamin Cortus
15,1920,2019-12-14,1,Paderborn 07,1,1,1,1.3,Union Berlin,14414,Benteler-Arena,Sven Jablonski
15,1920,2019-12-14,1,Düsseldorf,0.1,0,3,3.4,RB Leipzig,35387,Merkur Spielarena,Robert Hartmann
15,1920,2019-12-15,1,Wolfsburg,1.1,2,1,0.4,M'Gladbach,25580,Volkswagen Arena,Felix Brych
15,1920,2019-12-15,1,Schalke 04,1,1,0,0.7,Eint Frankfurt,60811,Veltins-Arena,Felix Zwayer
16,1920,2019-12-17,1,Werder Bremen,1,0,5,2.8,Mainz 05,37720,Weserstadion,Frank Willenborg
16,1920,2019-12-17,1,Augsburg,1.2,3,0,0.4,Düsseldorf,27763,WWK Arena,Marco Fritz
16,1920,2019-12-17,1,Union Berlin,1.3,0,2,0.8,Hoffenheim,20350,Stadion An der Alten Försterei,Sören Storks
16,1920,2019-12-17,1,Dortmund,1.1,3,3,2.5,RB Leipzig,80200,Signal Iduna Park,Tobias Stieler
16,1920,2019-12-18,1,Leverkusen,0.9,0,1,1.2,Hertha BSC,24472,BayArena,Bastian Dankert
16,1920,2019-12-18,1,Wolfsburg,2.1,1,1,1.2,Schalke 04,24651,Volkswagen Arena,Martin Petersen
16,1920,2019-12-18,1,Eint Frankfurt,1.4,2,4,2.5,Köln,50300,Commerzbank-Arena,Deniz Aytekin
16,1920,2019-12-18,1,M'Gladbach,2.5,2,0,0.5,Paderborn 07,44494,Stadion im Borussia-Park,Robert Kampka
16,1920,2019-12-18,1,Freiburg,1.7,1,3,3.4,Bayern Munich,24000,Schwarzwald-Stadion,Sascha Stegemann
17,1920,2019-12-20,1,Hoffenheim,1.1,2,1,1.7,Dortmund,30150,PreZero Arena,Felix Zwayer
17,1920,2019-12-21,1,Schalke 04,1.6,2,2,2.8,Freiburg,61867,Veltins-Arena,Felix Brych
17,1920,2019-12-21,1,RB Leipzig,3.3,3,1,0.5,Augsburg,40562,Red Bull Arena,Daniel Siebert
17,1920,2019-12-21,1,Mainz 05,1.9,0,1,1.5,Leverkusen,24345,Opel Arena,Patrick Ittrich
17,1920,2019-12-21,1,Bayern Munich,1.3,2,0,0.9,Wolfsburg,75000,Allianz Arena,Christian Dingert
17,1920,2019-12-21,1,Köln,1.1,1,0,0.2,Werder Bremen,50000,RheinEnergieSTADION,Daniel Schlager
17,1920,2019-12-21,1,Hertha BSC,0.4,0,0,0.8,M'Gladbach,50208,Olympiastadion Berlin,Harm Osmers
17,1920,2019-12-22,1,Düsseldorf,1,2,1,2,Union Berlin,45490,Merkur Spielarena,Benjamin Cortus
17,1920,2019-12-22,1,Paderborn 07,2.9,2,1,2,Eint Frankfurt,15000,Benteler-Arena,Markus Schmidt
18,1920,2020-01-17,1,Schalke 04,1.5,2,0,0.8,M'Gladbach,62271,Veltins-Arena,Deniz Aytekin
18,1920,2020-01-18,1,Hoffenheim,0.9,1,2,1.5,Eint Frankfurt,29610,PreZero Arena,Sascha Stegemann
18,1920,2020-01-18,1,Augsburg,1.8,3,5,4.8,Dortmund,30660,WWK Arena,Manuel Gräfe
18,1920,2020-01-18,1,Köln,1.3,3,1,1.7,Wolfsburg,49100,RheinEnergieSTADION,Marco Fritz
18,1920,2020-01-18,1,Mainz 05,2.5,1,2,1.5,Freiburg,23138,Opel Arena,Sven Jablonski
18,1920,2020-01-18,1,Düsseldorf,1,0,1,1,Werder Bremen,46000,Merkur Spielarena,Felix Brych
18,1920,2020-01-18,1,RB Leipzig,2.1,3,1,1.4,Union Berlin,42146,Red Bull Arena,Bastian Dankert
18,1920,2020-01-19,1,Hertha BSC,0.6,0,4,2.3,Bayern Munich,74667,Olympiastadion Berlin,Tobias Stieler
18,1920,2020-01-19,1,Paderborn 07,1.3,1,4,2.2,Leverkusen,14889,Benteler-Arena,Daniel Siebert
19,1920,2020-01-24,1,Dortmund,2.6,5,1,1.2,Köln,81365,Signal Iduna Park,Harm Osmers
19,1920,2020-01-25,1,M'Gladbach,2.3,3,1,0.7,Mainz 05,49175,Stadion im Borussia-Park,Felix Zwayer
19,1920,2020-01-25,1,Eint Frankfurt,1.2,2,0,1.3,RB Leipzig,50300,Commerzbank-Arena,Daniel Siebert
19,1920,2020-01-25,1,Freiburg,1.4,0,2,1.8,Paderborn 07,23500,Schwarzwald-Stadion,Christian Dingert
19,1920,2020-01-25,1,Union Berlin,1,2,0,1.6,Augsburg,22012,Stadion An der Alten Försterei,Bibiana Steinhaus
19,1920,2020-01-25,1,Wolfsburg,1.1,1,2,1.8,Hertha BSC,24894,Volkswagen Arena,Markus Schmidt
19,1920,2020-01-25,1,Bayern Munich,3.4,5,0,0.4,Schalke 04,75000,Allianz Arena,Manuel Gräfe
19,1920,2020-01-26,1,Werder Bremen,0.7,0,3,0.9,Hoffenheim,40000,Weserstadion,Martin Petersen
19,1920,2020-01-26,1,Leverkusen,3.7,3,0,0.7,Düsseldorf,26250,BayArena,Daniel Schlager
20,1920,2020-01-31,1,Hertha BSC,0.4,0,0,0.7,Schalke 04,47863,Olympiastadion Berlin,Sascha Stegemann
20,1920,2020-02-01,1,Dortmund,3.3,5,0,0.3,Union Berlin,81365,Signal Iduna Park,Benjamin Cortus
20,1920,2020-02-01,1,Mainz 05,0.3,1,3,1.5,Bayern Munich,33305,Opel Arena,Bastian Dankert
20,1920,2020-02-01,1,Augsburg,1.1,2,1,0.5,Werder Bremen,29432,WWK Arena,Marco Fritz
20,1920,2020-02-01,1,Düsseldorf,0.3,1,1,1,Eint Frankfurt,45018,Merkur Spielarena,Frank Willenborg
20,1920,2020-02-01,1,Hoffenheim,3.1,2,1,2.5,Leverkusen,24489,PreZero Arena,Deniz Aytekin
20,1920,2020-02-01,1,RB Leipzig,1.6,2,2,1.2,M'Gladbach,42146,Red Bull Arena,Tobias Stieler
20,1920,2020-02-02,1,Köln,3.6,4,0,0.6,Freiburg,50000,RheinEnergieSTADION,Robert Kampka
20,1920,2020-02-02,1,Paderborn 07,1,2,4,1.5,Wolfsburg,13926,Benteler-Arena,Patrick Ittrich
21,1920,2020-02-07,1,Eint Frankfurt,2.3,5,0,0.5,Augsburg,48800,Commerzbank-Arena,Manuel Gräfe
21,1920,2020-02-08,1,Schalke 04,1.3,1,1,0.8,Paderborn 07,61614,Veltins-Arena,Felix Brych
21,1920,2020-02-08,1,Hertha BSC,0.7,1,3,2.2,Mainz 05,35049,Olympiastadion Berlin,Martin Petersen
21,1920,2020-02-08,1,Wolfsburg,1,1,1,0.8,Düsseldorf,23445,Volkswagen Arena,Tobias Stieler
21,1920,2020-02-08,1,Freiburg,1.7,1,0,1.5,Hoffenheim,24000,Schwarzwald-Stadion,Sven Jablonski
21,1920,2020-02-08,1,Werder Bremen,1.3,0,2,1.4,Union Berlin,42100,Weserstadion,Daniel Schlager
21,1920,2020-02-08,1,Leverkusen,1.5,4,3,0.8,Dortmund,30210,BayArena,Markus Schmidt
21,1920,2020-02-09,1,Bayern Munich,1.4,0,0,1.3,RB Leipzig,75000,Allianz Arena,Marco Fritz
22,1920,2020-02-14,1,Dortmund,1.2,4,0,0,Eint Frankfurt,81365,Signal Iduna Park,Bastian Dankert
22,1920,2020-02-15,1,Paderborn 07,0.8,1,2,1.8,Hertha BSC,14687,Benteler-Arena,Bibiana Steinhaus
22,1920,2020-02-15,1,RB Leipzig,1.3,3,0,0.4,Werder Bremen,41308,Red Bull Arena,Benjamin Cortus
22,1920,2020-02-15,1,Union Berlin,1.3,2,3,1,Leverkusen,22012,Stadion An der Alten Försterei,Harm Osmers
22,1920,2020-02-15,1,Hoffenheim,2.5,2,3,2.7,Wolfsburg,22506,PreZero Arena,Sören Storks
22,1920,2020-02-15,1,Augsburg,0.9,1,1,1.3,Freiburg,26822,WWK Arena,Patrick Ittrich
22,1920,2020-02-15,1,Düsseldorf,1,1,4,2.3,M'Gladbach,51000,Merkur Spielarena,Daniel Siebert
22,1920,2020-02-16,1,Köln,2.5,1,4,2.6,Bayern Munich,50000,RheinEnergieSTADION,Felix Zwayer
22,1920,2020-02-16,1,Mainz 05,1.3,0,0,0.8,Schalke 04,27482,Opel Arena,Guido Winkmann
23,1920,2020-02-21,1,Bayern Munich,2.6,3,2,1.3,Paderborn 07,75000,Allianz Arena,Markus Schmidt
23,1920,2020-02-22,1,M'Gladbach,2.4,1,1,1.6,Hoffenheim,50250,Stadion im Borussia-Park,Felix Brych
23,1920,2020-02-22,1,Hertha BSC,0.6,0,5,2.6,Köln,46207,Olympiastadion Berlin,Daniel Schlager
23,1920,2020-02-22,1,Freiburg,0.9,0,2,0.8,Düsseldorf,24000,Schwarzwald-Stadion,Frank Willenborg
23,1920,2020-02-22,1,Werder Bremen,0.2,0,2,1.1,Dortmund,42100,Weserstadion,Marco Fritz
23,1920,2020-02-22,1,Schalke 04,0.2,0,5,2.6,RB Leipzig,61433,Veltins-Arena,Sascha Stegemann
23,1920,2020-02-23,1,Leverkusen,0.9,2,0,0.6,Augsburg,23703,BayArena,Sven Jablonski
23,1920,2020-02-23,1,Wolfsburg,2.8,4,0,0.9,Mainz 05,21058,Volkswagen Arena,Benjamin Cortus
23,1920,2020-02-24,1,Eint Frankfurt,1.8,1,2,1.5,Union Berlin,47000,Commerzbank-Arena,Deniz Aytekin
24,1920,2020-02-28,1,Düsseldorf,1.4,3,3,2.9,Hertha BSC,31632,Merkur Spielarena,Tobias Stieler
24,1920,2020-02-29,1,Mainz 05,1,2,0,0.6,Paderborn 07,24231,Opel Arena,Harm Osmers
24,1920,2020-02-29,1,Augsburg,1.1,2,3,2.5,M'Gladbach,29303,WWK Arena,Markus Schmidt
24,1920,2020-02-29,1,Hoffenheim,0.4,0,6,3.5,Bayern Munich,30150,PreZero Arena,Christian Dingert
24,1920,2020-02-29,1,Dortmund,1.6,1,0,1.1,Freiburg,81365,Signal Iduna Park,Robert Hartmann
24,1920,2020-02-29,1,Köln,1.1,3,0,0.8,Schalke 04,50000,RheinEnergieSTADION,Manuel Gräfe
24,1920,2020-03-01,1,Union Berlin,0.6,2,2,1,Wolfsburg,22012,Stadion An der Alten Försterei,Bastian Dankert
24,1920,2020-03-01,1,RB Leipzig,0.6,1,1,1.3,Leverkusen,41216,Red Bull Arena,Felix Zwayer
25,1920,2020-03-06,1,Paderborn 07,0.6,1,2,2.5,Köln,15000,Benteler-Arena,Daniel Siebert
