Match,Competition,Date,Aerial Duels,Duels Won,Conceded goals,xCG,Shots against,Total Saves,Reflex Saves,Total Exits,Accurate Exits,Claims,Punches,Total Passes to GK,Accurate Passes,Ball distributions
Borussia M''gladbach - Borussia Dortmund 2:3,Germany. Bundesliga,2017-04-22,0,0,2,1.02,4,2,2,0,0,0,0,0,0,5
Monaco - Borussia Dortmund 3:1,Europe. UEFA Champions League,2017-04-19,0,0,3,2.12,9,6,4,0,0,0,0,0,0,10
Borussia Dortmund - Eintracht Frankfurt 3:1,Germany. Bundesliga,2017-04-15,0,0,1,0.73,2,1,1,0,0,0,0,0,0,6
Borussia Dortmund - Monaco 2:3,Europe. UEFA Champions League,2017-04-12,0,0,3,1.79,3,0,0,0,0,0,0,0,0,10
Bayern München - Borussia Dortmund 4:1,Germany. Bundesliga,2017-04-08,0,0,4,2.13,8,4,1,2,0,1,0,0,0,9
Borussia Dortmund - Hamburger SV 3:0,Germany. Bundesliga,2017-04-04,1,0,0,0.59,6,6,4,1,0,0,0,0,0,8
Schalke 04 - Borussia Dortmund 1:1,Germany. Bundesliga,2017-04-01,2,2,1,0.98,3,2,1,2,0,1,0,0,0,7
Borussia Dortmund - Ingolstadt 1:0,Germany. Bundesliga,2017-03-17,1,1,0,0.85,2,2,2,2,0,1,1,0,0,11
Sportfreunde Lotte - Borussia Dortmund 0:3,Germany. DFB Pokal,2017-03-14,0,0,0,0.03,1,1,1,0,0,0,0,0,0,8
Hertha BSC - Borussia Dortmund 2:1,Germany. Bundesliga,2017-03-11,2,1,2,1.86,5,3,2,5,0,4,1,0,0,6
Borussia Dortmund - Benfica 4:0,Europe. UEFA Champions League,2017-03-08,0,0,0,0.26,2,2,1,1,0,1,0,0,0,2
Borussia Dortmund - Bayer Leverkusen 6:2,Germany. Bundesliga,2017-03-04,0,0,2,1.36,3,1,0,1,0,1,0,0,0,3
Freiburg - Borussia Dortmund 0:3,Germany. Bundesliga,2017-02-25,0,0,0,0.4,2,2,2,0,0,0,0,0,0,5
Borussia Dortmund - Wolfsburg 3:0,Germany. Bundesliga,2017-02-18,0,0,0,0.36,3,3,0,0,0,0,0,0,0,6
Benfica - Borussia Dortmund 1:0,Europe. UEFA Champions League,2017-02-14,0,0,1,0.78,1,0,0,0,0,0,0,0,0,4
Darmstadt 98 - Borussia Dortmund 2:1,Germany. Bundesliga,2017-02-11,1,1,2,1.22,8,6,4,1,0,0,0,0,0,12
Borussia Dortmund - RB Leipzig 1:0,Germany. Bundesliga,2017-02-04,0,0,0,0.16,1,1,1,2,0,1,0,0,0,6
Mainz 05 - Borussia Dortmund 1:1,Germany. Bundesliga,2017-01-29,0,0,1,0.24,1,0,0,2,0,1,0,0,0,6
Borussia Dortmund - Bayern München 1:0,Germany. Bundesliga,2016-11-19,1,1,0,0.5,3,3,0,2,0,1,1,0,0,11
Hamburger SV - Borussia Dortmund 2:5,Germany. Bundesliga,2016-11-05,1,1,2,0.95,6,4,1,0,0,0,0,0,0,9
Borussia Dortmund - Sporting CP 1:0,Europe. UEFA Champions League,2016-11-02,1,1,0,0.32,2,2,0,3,0,2,0,0,0,10
Borussia Dortmund - Schalke 04 0:0,Germany. Bundesliga,2016-10-29,1,1,0,0.07,2,2,1,1,0,1,0,0,0,8
Sporting CP - Borussia Dortmund 1:2,Europe. UEFA Champions League,2016-10-18,3,3,1,0.84,5,4,3,4,0,2,1,0,0,4
Borussia Dortmund - Hertha BSC 1:1,Germany. Bundesliga,2016-10-14,0,0,1,0.35,2,1,1,0,0,0,0,0,0,5
Andorra - Switzerland 1:2,Europe. WC Qualification Europe,2016-10-10,0,0,1,0.79,2,1,0,1,0,1,0,0,0,6
Bayer Leverkusen - Borussia Dortmund 2:0,Germany. Bundesliga,2016-10-01,0,0,2,2.46,6,4,2,2,0,1,0,0,0,4
Borussia Dortmund - Real Madrid 2:2,Europe. UEFA Champions League,2016-09-27,1,1,2,1.55,4,2,1,2,0,1,0,0,0,6
Borussia Dortmund - Freiburg 3:1,Germany. Bundesliga,2016-09-23,1,1,1,0.9,4,3,3,3,0,2,0,0,0,5
Wolfsburg - Borussia Dortmund 1:5,Germany. Bundesliga,2016-09-20,1,1,1,3.55,9,8,4,3,0,2,0,0,0,6
Borussia Dortmund - Darmstadt 98 6:0,Germany. Bundesliga,2016-09-17,1,1,0,0.04,1,1,0,1,0,1,0,0,0,2
Legia Warszawa - Borussia Dortmund 0:6,Europe. UEFA Champions League,2016-09-14,0,0,0,0.38,3,3,0,1,0,0,0,0,0,6
RB Leipzig - Borussia Dortmund 1:0,Germany. Bundesliga,2016-09-10,0,0,1,0.97,3,2,1,1,0,1,0,0,0,10
Borussia Dortmund - Mainz 05 2:1,Germany. Bundesliga,2016-08-27,0,0,1,1.12,4,3,1,0,0,0,0,0,0,6
Hallescher FC - Borussia Dortmund 0:3,World. Club Friendlies,2016-08-23,0,0,0,0.87,1,1,1,1,0,1,0,0,0,4
Borussia Dortmund - Bayern München 0:2,Germany. Super Cup,2016-08-14,1,0,2,2.18,4,2,2,3,0,3,0,0,0,6
