Match,Competition,Date,Aerial Duels,Duels Won,Conceded goals,xCG,Shots against,Total Saves,Reflex Saves,Total Exits,Accurate Exits,Claims,Punches,Total Passes to GK,Accurate Passes,Ball distributions
Borussia Dortmund - Atlético Madrid 4:0,Europe. UEFA Champions League,2018-10-24,0,0,0,0.31,2,2,1,1,0,1,0,0,0,7
Stuttgart - Borussia Dortmund 0:4,Germany. Bundesliga,2018-10-20,0,0,0,1.86,6,6,4,1,0,1,0,0,0,10
Borussia Dortmund - Augsburg 4:3,Germany. Bundesliga,2018-10-06,1,1,3,2.61,5,2,2,1,0,0,0,0,0,1
Borussia Dortmund - Monaco 3:0,Europe. UEFA Champions League,2018-10-03,0,0,0,0.94,4,4,0,0,0,0,0,0,0,5
Bayer Leverkusen - Borussia Dortmund 2:4,Germany. Bundesliga,2018-09-29,1,1,2,2.11,6,4,3,2,0,1,1,0,0,3
Borussia Dortmund - Nürnberg 7:0,Germany. Bundesliga,2018-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hoffenheim - Borussia Dortmund 1:1,Germany. Bundesliga,2018-09-22,0,0,1,1.44,6,5,5,2,0,2,0,0,0,8
Club Brugge - Borussia Dortmund 0:1,Europe. UEFA Champions League,2018-09-18,0,0,0,0.83,3,3,2,3,0,1,1,0,0,8
Borussia Dortmund - Eintracht Frankfurt 3:1,Germany. Bundesliga,2018-09-14,0,0,1,0.88,2,1,0,0,0,0,0,0,0,3
Hannover 96 - Borussia Dortmund 0:0,Germany. Bundesliga,2018-08-31,0,0,0,0,0,0,0,3,0,3,0,0,0,7
Borussia Dortmund - RB Leipzig 4:1,Germany. Bundesliga,2018-08-26,1,0,1,1.83,7,6,4,1,0,0,1,0,0,18
Greuther Fürth - Borussia Dortmund 1:2 (E),Germany. DFB Pokal,2018-08-20,0,0,1,1.28,6,5,2,1,0,0,0,0,0,7
Borussia Dortmund - Lazio 1:0,World. Club Friendlies,2018-08-12,0,0,0,1.2,3,3,0,1,0,1,0,0,0,8
Borussia Dortmund - Napoli 1:3,World. Club Friendlies,2018-08-07,0,0,3,1.65,4,1,1,1,0,0,0,0,0,6
Borussia Dortmund - Rennes 1:1,World. Club Friendlies,2018-08-03,0,0,1,2.71,4,3,2,3,0,3,0,0,0,5
Switzerland - Japan 2:0,World. Friendlies,2018-06-08,1,1,0,0.27,5,5,0,3,0,1,2,0,0,6
Hoffenheim - Borussia Dortmund 3:1,Germany. Bundesliga,2018-05-12,0,0,3,1.87,9,6,3,3,0,1,1,0,0,4
Borussia Dortmund - Mainz 05 1:2,Germany. Bundesliga,2018-05-05,0,0,2,1.94,5,3,1,1,0,0,1,0,0,2
Werder Bremen - Borussia Dortmund 1:1,Germany. Bundesliga,2018-04-29,0,0,1,1.35,5,4,2,1,0,1,0,0,0,10
Borussia Dortmund - Bayer Leverkusen 4:0,Germany. Bundesliga,2018-04-21,1,1,0,0.48,4,4,2,4,0,2,1,0,0,7
Schalke 04 - Borussia Dortmund 2:0,Germany. Bundesliga,2018-04-15,0,0,2,1.01,3,1,0,0,0,0,0,0,0,12
Borussia Dortmund - Stuttgart 3:0,Germany. Bundesliga,2018-04-08,0,0,0,0,0,0,0,1,0,1,0,0,0,12
Bayern München - Borussia Dortmund 6:0,Germany. Bundesliga,2018-03-31,0,0,6,4.09,8,2,0,0,0,0,0,0,0,6
Switzerland - Panama 6:0,World. Friendlies,2018-03-27,0,0,0,0.16,2,2,0,1,0,1,0,0,0,2
Borussia Dortmund - Hannover 96 1:0,Germany. Bundesliga,2018-03-18,0,0,0,0.62,4,4,2,1,0,1,0,0,0,6
Salzburg - Borussia Dortmund 0:0,Europe. UEFA Europa League,2018-03-15,1,1,0,0.75,5,5,3,4,0,3,1,1,1,9
Borussia Dortmund - Eintracht Frankfurt 3:2,Germany. Bundesliga,2018-03-11,1,1,2,1.86,3,1,1,4,0,2,0,0,0,11
Borussia Dortmund - Salzburg 1:2,Europe. UEFA Europa League,2018-03-08,0,0,2,2.51,6,4,3,1,0,1,0,0,0,8
RB Leipzig - Borussia Dortmund 1:1,Germany. Bundesliga,2018-03-03,0,0,1,1.41,3,2,1,1,0,1,0,0,0,6
Borussia Dortmund - Augsburg 1:1,Germany. Bundesliga,2018-02-26,0,0,1,1.78,6,5,3,0,0,0,0,0,0,6
Atalanta - Borussia Dortmund 1:1,Europe. UEFA Europa League,2018-02-22,1,0,1,1.25,2,1,1,2,0,1,1,0,0,10
