player_id,player,position,team,league,age,year_of_birth,mins_90s,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,touches_live,touches_success,dribbles_att,dribbles_percent,dribbles_player_count,dribbles_megs,dribbles_carries,carries_total_dist,carries_prog_dist,pass_targets,pass_receptions,pass_reception_percent,miscontrols,dispossessed
10305,Rubén Blanco,GK,Celta Vigo,La Liga,24,1995,32.9,1068,965,1062,4,2,0,664,0,0,,0,0,442,2426,1332,371,369,99.5,0,0
10306,Ludovic Blas,FWMF,Nantes,Ligue 1,21,1997,20.5,978,7,118,551,410,53,954,52,93,55.9,60,2,772,5570,3047,921,711,77.2,44,61
10307,Pablo de Blasis,DFMF,Eibar,La Liga,31,1988,17.8,1132,30,196,585,408,27,963,13,25,52,15,0,637,2828,1555,765,652,85.2,23,14
10308,Alejandro Blesa,MF,Levante,La Liga,17,2002,0,7,0,2,4,2,1,7,0,0,,0,0,5,26,21,4,4,100,1,0
10309,Alexis Blin,MF,Amiens,Ligue 1,22,1996,20.5,1240,67,322,838,126,3,1209,13,16,81.3,14,1,777,3287,1451,810,765,94.4,9,14
10310,Jérôme Boateng,DF,Bayern Munich,Bundesliga,30,1988,20,1857,174,841,1073,48,5,1817,0,0,,0,0,1348,5595,2772,1416,1408,99.4,0,1
10311,Kevin-Prince Boateng,FW,Fiorentina,Serie A,32,1987,6.7,273,6,11,146,125,27,259,10,14,71.4,11,1,187,736,204,366,214,58.5,12,5
10312,Antonin Bobichon,MF,Nîmes,Ligue 1,23,1995,2,121,1,17,69,46,3,107,2,5,40,2,0,90,564,271,89,81,91,3,1
10313,Antonin Bobichon,MF,Angers,Ligue 1,23,1995,7.2,373,4,52,199,159,19,349,6,10,60,7,0,256,1584,983,325,265,81.5,13,11
10314,Salvatore Bocchetti,DF,Hellas Verona,Serie A,32,1986,3.4,224,30,103,127,15,1,215,0,2,0,0,0,116,604,429,130,127,97.7,0,1
10315,Mathieu Bodmer,MF,Amiens,Ligue 1,36,1982,1,104,1,16,67,23,7,103,2,2,100,2,0,69,263,124,104,90,86.5,1,1
