player,position,league,squad,age
Mateo Musacchio,DF,Serie A,Milan,30
Mateo Musacchio,DF,Serie A,Lazio,30
Juan Musso,GK,Serie A,Udinese,26
Joakim Mæhle,DF,Serie A,Atalanta,23
Radja Nainggolan,MF,Serie A,Inter,32
Radja Nainggolan,MF,Serie A,Cagliari,32
Nahitan Nández,MF,Serie A,Cagliari,25
Ilija Nestorovski,FW,Serie A,Udinese,30
Nicolas Nkoulou,DF,Serie A,Torino,30
Bram Nuytinck,DF,Serie A,Udinese,30
Simeon Nwankwo,FW,Serie A,Crotone,28
M'Bala Nzola,FW,Serie A,Spezia,24
Pedro Obiang,MF,Serie A,Sassuolo,28
Brain Oddei,MF,Serie A,Sassuolo,18
Stefano Okaka,FW,Serie A,Udinese,31
Christian Oliva,MF,Serie A,Cagliari,24
Jerome Onguene,DF,Serie A,Genoa,23
Riccardo Orsolini,FW,Serie A,Bologna,24
Victor Osimhen,FW,Serie A,Napoli,22
Yordan Osorio,DF,Serie A,Parma,26
David Ospina,GK,Serie A,Napoli,32
Adam Ounas,MF,Serie A,Cagliari,24
Adam Ounas,FW,Serie A,Crotone,24
Thomas Ouwejan,DF,Serie A,Udinese,24
Mattia Pagliuca,MF,Serie A,Bologna,18
Rodrigo Palacio,FW,Serie A,Bologna,39
Alberto Paleari,GK,Serie A,Genoa,28
Antonio Palumbo,MF,Serie A,Sampdoria,24
Martin Palumbo,MF,Serie A,Udinese,18
Goran Pandev,FW,Serie A,Genoa,37
Vittorio Parigini,FW,Serie A,Genoa,24
Marco Parolo,DF,Serie A,Lazio,36
Mario Pašalić,MF,Serie A,Atalanta,26
Christian Pastina,DF,Serie A,Benevento,20
Patric,DF,Serie A,Lazio,27
Leonardo Pavoletti,FW,Serie A,Cagliari,32
Nehuén Paz,DF,Serie A,Bologna,27
Pedro,FW,Serie A,Roma,33
João Pedro,MF,Serie A,Cagliari,28
Gianluca Pegolo,GK,Serie A,Sassuolo,39
Lorenzo Pellegrini,MF,Serie A,Roma,24
Luca Pellegrini,DF,Serie A,Genoa,21
Federico Peluso,DF,Serie A,Sassuolo,37
Andreas Pereira,MF,Serie A,Lazio,25
Pedro Pereira,DF,Serie A,Crotone,23
Gastón Pereiro,MF,Serie A,Cagliari,25
Bruno Peres,DF,Serie A,Roma,31
Roberto Pereyra,MF,Serie A,Udinese,30
Carles Pérez,MF,Serie A,Roma,23
Mattia Perin,GK,Serie A,Genoa,28
Ivan Perišić,DF,Serie A,Inter,32
Matteo Pessina,MF,Serie A,Atalanta,23
Andrea Petagna,FW,Serie A,Napoli,25
Jacopo Petriccione,MF,Serie A,Crotone,26
Jens Petter Hauge,FW,Serie A,Milan,21
Germán Pezzella,DF,Serie A,Fiorentina,29
Giuseppe Pezzella,DF,Serie A,Parma,23
Cristiano Piccini,DF,Serie A,Atalanta,28
Roberto Piccoli,FW,Serie A,Spezia,20
Andrea Pinamonti,FW,Serie A,Inter,21
Fabio Pisacane,DF,Serie A,Cagliari,35
Marko Pjaca,FW,Serie A,Genoa,25
Tommaso Pobega,MF,Serie A,Spezia,21
Andrea Poli,MF,Serie A,Bologna,31
Matteo Politano,FW,Serie A,Napoli,27
Manolo Portanova,FW,Serie A,Juventus,20
Manolo Portanova,MF,Serie A,Genoa,20
Ivan Provedel,GK,Serie A,Spezia,26
Erick Pulgar,MF,Serie A,Fiorentina,27
Ignacio Pussetto,FW,Serie A,Udinese,25
Fabio Quagliarella,FW,Serie A,Sampdoria,38
Simone Rabbi,FW,Serie A,Bologna,19
Adrien Rabiot,MF,Serie A,Juventus,25
Ivan Radovanović,DF,Serie A,Genoa,32
Ștefan Radu,DF,Serie A,Lazio,34
Rafael,GK,Serie A,Spezia,39
Gastón Ramírez,FW,Serie A,Sampdoria,30
Aaron Ramsey,MF,Serie A,Juventus,30
Andrea Ranocchia,DF,Serie A,Inter,33
Giacomo Raspadori,FW,Serie A,Sassuolo,21
Federico Ravaglia,GK,Serie A,Bologna,21
Ante Rebić,FW,Serie A,Milan,27
Arkadiusz Reca,DF,Serie A,Crotone,25
Vasco Regini,DF,Serie A,Sampdoria,30
Pepe Reina,GK,Serie A,Lazio,38
Franck Ribéry,FW,Serie A,Fiorentina,37
Federico Ricci,FW,Serie A,Sassuolo,26
Giacomo Ricci,DF,Serie A,Parma,24
Matteo Ricci,MF,Serie A,Spezia,26
Tomás Rincón,MF,Serie A,Torino,33
Andrea Rispoli,DF,Serie A,Crotone,32
Emmanuel Rivière,FW,Serie A,Crotone,31
Ricardo Rodríguez,DF,Serie A,Torino,28
Marko Rog,MF,Serie A,Cagliari,25
Rogério,DF,Serie A,Sassuolo,23
Luis Rojas,FW,Serie A,Crotone,18
Alessio Romagnoli,DF,Serie A,Milan,26
Cristian Romero,DF,Serie A,Atalanta,22
Cristiano Ronaldo,FW,Serie A,Juventus,36
Marten de Roon,MF,Serie A,Atalanta,29
Nicolò Rovella,MF,Serie A,Genoa,19
Amir Rrahmani,DF,Serie A,Napoli,27
Kevin Rüegg,MF,Serie A,Hellas Verona,22
Daniele Rugani,DF,Serie A,Cagliari,26
Matteo Ruggeri,DF,Serie A,Atalanta,18
Mário Rui,DF,Serie A,Napoli,29
Fabián Ruiz Peña,MF,Serie A,Napoli,24
Alexis Saelemaekers,FW,Serie A,Milan,21
Jacopo Sala,DF,Serie A,Spezia,29
Eddy Salcedo,FW,Serie A,Hellas Verona,19
Alexis Sánchez,FW,Serie A,Inter,32
Alex Sandro,DF,Serie A,Juventus,30
Nicola Sansone,FW,Serie A,Bologna,29
Federico Santander,FW,Serie A,Bologna,29
Davide Santon,DF,Serie A,Roma,30
Samir Santos,DF,Serie A,Udinese,26
Riccardo Saponara,FW,Serie A,Spezia,29
Riccardo Saponara,FW,Serie A,Fiorentina,29
Marco Sau,MF,Serie A,Benevento,33
Gianluca Scamacca,FW,Serie A,Genoa,22
Nicolás Schiappacasse,MF,Serie A,Sassuolo,22
Pasquale Schiattarella,MF,Serie A,Benevento,33
Jerdy Schouten,MF,Serie A,Bologna,24
Matteo Scozzarella,MF,Serie A,Parma,32
Jacopo Segre,MF,Serie A,Torino,24
Léo Sena,MF,Serie A,Spezia,25
Stefano Sensi,MF,Serie A,Inter,25
Luigi Sepe,GK,Serie A,Parma,29
Stephan El Shaarawy,MF,Serie A,Roma,28
Eldor Shomurodov,FW,Serie A,Genoa,25
Luca Siligardi,MF,Serie A,Crotone,33
Luca Siligardi,FW,Serie A,Parma,33
Adrien Silva,MF,Serie A,Sampdoria,31
Marco Silvestri,GK,Serie A,Hellas Verona,30
Giovanni Simeone,FW,Serie A,Cagliari,25
Wilfried Singo,DF,Serie A,Torino,20
Salvatore Sirigu,GK,Serie A,Torino,34
Łukasz Skorupski,GK,Serie A,Bologna,29
Andreas Skov Olsen,FW,Serie A,Bologna,21
Milan Škriniar,DF,Serie A,Inter,26
Chris Smalling,DF,Serie A,Roma,31
Simon Sohm,MF,Serie A,Parma,19
Roberto Soriano,MF,Serie A,Bologna,30
Riccardo Sottil,MF,Serie A,Cagliari,21
Adama Soumaoro,DF,Serie A,Bologna,28
Leonardo Spinazzola,DF,Serie A,Roma,27
Marco Sportiello,GK,Serie A,Atalanta,28
Mattia Sprocati,FW,Serie A,Parma,27
Thomas Strakosha,GK,Serie A,Lazio,25
Kevin Strootman,MF,Serie A,Genoa,31
Jens Stryger Larsen,DF,Serie A,Udinese,30
Stefano Sturaro,MF,Serie A,Hellas Verona,27
Stefano Sturaro,MF,Serie A,Genoa,27
Bosko Sutalo,DF,Serie A,Atalanta,21
Mattias Svanberg,MF,Serie A,Bologna,22
Wojciech Szczęsny,GK,Serie A,Juventus,30
Adrien Tameze,MF,Serie A,Hellas Verona,27
Ciprian Tătărușanu,GK,Serie A,Milan,35
Andrés Tello,MF,Serie A,Benevento,24
Hidde ter Avest,DF,Serie A,Udinese,23
Claudio Terzi,DF,Serie A,Spezia,36
Morten Thorsby,MF,Serie A,Sampdoria,24
Jeremy Toljan,DF,Serie A,Sassuolo,26
Rafael Tolói,DF,Serie A,Atalanta,30
Takehiro Tomiyasu,DF,Serie A,Bologna,22
Fikayo Tomori,DF,Serie A,Milan,23
Sandro Tonali,MF,Serie A,Milan,20
Lorenzo Tonelli,DF,Serie A,Sampdoria,31
Ernesto Torregrossa,FW,Serie A,Sampdoria,28
Mattéo Tramoni,FW,Serie A,Cagliari,21
Alessandro Tripaldelli,DF,Serie A,Cagliari,22
Alessandro Tuia,DF,Serie A,Benevento,30
Ľubomír Tupta,MF,Serie A,Hellas Verona,22
Iyenoma Udogie,DF,Serie A,Hellas Verona,18
Lautaro Valenti,DF,Serie A,Parma,22
Borja Valero,MF,Serie A,Fiorentina,36
Denis Vavro,DF,Serie A,Lazio,24
Miguel Veloso,MF,Serie A,Hellas Verona,34
Lorenzo Venuti,DF,Serie A,Fiorentina,25
Daniele Verde,FW,Serie A,Spezia,24
Simone Verdi,FW,Serie A,Torino,28
Jordan Veretout,MF,Serie A,Roma,28
Edoardo Vergani,FW,Serie A,Bologna,20
Valerio Verre,MF,Serie A,Sampdoria,27
Arturo Vidal,MF,Serie A,Inter,33
Ronaldo Vieira,MF,Serie A,Hellas Verona,22
Luca Vignali,DF,Serie A,Spezia,25
Emanuel Vignato,FW,Serie A,Bologna,20
Gonzalo Villar,MF,Serie A,Roma,22
Nicolas Viola,MF,Serie A,Benevento,31
Dušan Vlahović,FW,Serie A,Fiorentina,21
Mërgim Vojvoda,DF,Serie A,Torino,26
Stefan de Vrij,DF,Serie A,Inter,29
Giacomo Vrioni,MF,Serie A,Juventus,22
Miloš Vulić,MF,Serie A,Crotone,24
Walace,MF,Serie A,Udinese,25
Sebastian Walukiewicz,DF,Serie A,Cagliari,20
Maya Yoshida,DF,Serie A,Sampdoria,32
Ashley Young,DF,Serie A,Inter,35
Mattia Zaccagni,MF,Serie A,Hellas Verona,25
Miha Zajc,MF,Serie A,Genoa,26
Niccolò Zanellato,MF,Serie A,Crotone,22
Cristián Zapata,DF,Serie A,Genoa,34
Duván Zapata,FW,Serie A,Atalanta,29
Gabriele Zappa,DF,Serie A,Cagliari,21
Davide Zappacosta,DF,Serie A,Genoa,28
Simone Zaza,FW,Serie A,Torino,29
Marvin Zeegelaar,DF,Serie A,Udinese,30
Piotr Zieliński,MF,Serie A,Napoli,26
Joshua Zirkzee,FW,Serie A,Parma,19
Jeroen Zoet,GK,Serie A,Spezia,30
Filip Đuričić,MF,Serie A,Sassuolo,29
Marcos Acuña,DF,La Liga,Sevilla,29
Bobby Adekanye,FW,La Liga,Cádiz,22
Martin Agirregabiria,DF,La Liga,Alavés,24
Joseph Aidoo,DF,La Liga,Celta Vigo,25
Carlos Akapo,DF,La Liga,Cádiz,27
Paul Akouokou,MF,La Liga,Betis,23
Jony Álamo,MF,La Liga,Elche,19
Jordi Alba,DF,La Liga,Barcelona,31
Raúl Albiol,DF,La Liga,Villarreal,35
Paco Alcácer,FW,La Liga,Villarreal,27
Pedro Alcalá,DF,La Liga,Cádiz,31
Rubén Alcaraz,MF,La Liga,Valladolid,29
Iván Alejo,MF,La Liga,Cádiz,26
Carles Aleñá,MF,La Liga,Getafe,23
Carles Aleñá,MF,La Liga,Barcelona,23
Sergio Álvarez,MF,La Liga,Eibar,29
Yeray Álvarez,DF,La Liga,Athletic Club,26
Jon Ander Garrido,MF,La Liga,Cádiz,31
Miguel Ángel Rubio,DF,La Liga,Valladolid,22
José Ángel,DF,La Liga,Eibar,31
Aritz Arambarri,DF,La Liga,Real Sociedad,23
Mauro Arambarri,MF,La Liga,Getafe,25
Néstor Araujo,DF,La Liga,Celta Vigo,29
Ronald Araújo,DF,La Liga,Barcelona,21
Anaitz Arbilla,DF,La Liga,Eibar,33
Unai Arietaleanizbeaskoa,FW,La Liga,Eibar,22
Sergio Arribas,FW,La Liga,Real Madrid,19
Sergio Asenjo,GK,La Liga,Villarreal,31
Marco Asensio,FW,La Liga,Real Madrid,25
Iago Aspas,FW,La Liga,Celta Vigo,33
Miguel Atienza,MF,La Liga,Eibar,21
Ramon Azeez,MF,La Liga,Granada,28
Carlos Bacca,FW,La Liga,Villarreal,34
Édgar Badía,GK,La Liga,Elche,29
Alejandro Baena,MF,La Liga,Villarreal,19
Miguel Baeza,MF,La Liga,Celta Vigo,20
Mikel Balenziaga,DF,La Liga,Athletic Club,33
Sergio Barcia,DF,La Liga,Granada,20
Enis Bardhi,MF,La Liga,Levante,25
Kike Barja,MF,La Liga,Osasuna,23
Marc Baró Ortiz,DF,La Liga,Cádiz,21
Antonio Barragán,DF,La Liga,Elche,33
Ander Barrenetxea,FW,La Liga,Real Sociedad,19
Marc Bartra,DF,La Liga,Betis,30
Rodrigo Battaglia,MF,La Liga,Alavés,29
Jon Bautista,FW,La Liga,Real Sociedad,25
Fran Beltrán,MF,La Liga,Celta Vigo,22
Sergio Benito,FW,La Liga,Valladolid,21
Karim Benzema,FW,La Liga,Real Madrid,33
Yuri Berchiche,DF,La Liga,Athletic Club,31
Álex Berenguer,FW,La Liga,Athletic Club,25
Pedro Bigas,DF,La Liga,Eibar,30
Alejandro Blanco,MF,La Liga,Valencia,22
Rubén Blanco,GK,La Liga,Celta Vigo,25
Yann Bodiger,MF,La Liga,Cádiz,26
Yassine Bounou,GK,La Liga,Sevilla,29
Lucas Boyé,FW,La Liga,Elche,25
Martin Braithwaite,FW,La Liga,Barcelona,29
Darko Brašanac,MF,La Liga,Osasuna,29
Alvaro Bravo Jiménez,MF,La Liga,Granada,23
Claudio Bravo,GK,La Liga,Betis,37
Yan Brice Eteki,MF,La Liga,Granada,23
Bryan,MF,La Liga,Eibar,20
Bryan,FW,La Liga,Sevilla,20
Ante Budimir,FW,La Liga,Osasuna,29
Esteban Burgos,DF,La Liga,Eibar,29
Burgui,MF,La Liga,Alavés,27
Sergio Busquets,MF,La Liga,Barcelona,32
Erick Cabaco,DF,La Liga,Getafe,25
Cala,DF,La Liga,Cádiz,31
Jonathan Calleri,FW,La Liga,Osasuna,27
Dani Calvo,DF,La Liga,Elche,26
José Campaña,MF,La Liga,Levante,27
Sergio Canales,MF,La Liga,Betis,30
Ander Capa,DF,La Liga,Athletic Club,29
Étienne Capoue,MF,La Liga,Villarreal,32
Isaac Carcelen,DF,La Liga,Cádiz,27
Dani Cárdenas,GK,La Liga,Levante,23
Marc Cardona,FW,La Liga,Osasuna,25
Diego Carlos,DF,La Liga,Sevilla,27
Juan Carlos,MF,La Liga,Huesca,29
Yannick Carrasco,DF,La Liga,Atlético Madrid,27
Sergio Carreira,DF,La Liga,Celta Vigo,20
Guido Carrillo,FW,La Liga,Elche,29
Dani Carvajal,DF,La Liga,Real Madrid,29
William Carvalho,MF,La Liga,Betis,28
Casemiro,MF,La Liga,Real Madrid,29
Sofian Chakla,DF,La Liga,Getafe,27
Sofian Chakla,DF,La Liga,Villarreal,27
Chema,DF,La Liga,Getafe,29
Denis Cheryshev,MF,La Liga,Valencia,30
Samuel Chukwueze,MF,La Liga,Villarreal,21
Víctor Chust,DF,La Liga,Real Madrid,20
Cifu,DF,La Liga,Elche,30
Alberto Cifuentes,GK,La Liga,Cádiz,41
Jasper Cillessen,GK,La Liga,Valencia,31
Carlos Clerc,DF,La Liga,Levante,29
Coke,DF,La Liga,Levante,33
Francis Coquelin,MF,La Liga,Villarreal,29
Iñigo Córdoba,MF,La Liga,Alavés,23
Iñigo Córdoba,FW,La Liga,Athletic Club,23
Ángel Correa,FW,La Liga,Atlético Madrid,25
Rober Correa,DF,La Liga,Eibar,28
Thierry Correia,DF,La Liga,Valencia,21
Diego Costa,FW,La Liga,Atlético Madrid,32
Jaume Costa,DF,La Liga,Villarreal,32
Thibaut Courtois,GK,La Liga,Real Madrid,28
Philippe Coutinho,MF,La Liga,Barcelona,28
Juan Cruz Armada,DF,La Liga,Osasuna,28
Sergio Cubero Ezcurra,MF,La Liga,Eibar,21
Cucho,FW,La Liga,Getafe,21
Marc Cucurella,MF,La Liga,Getafe,22
Patrick Cutrone,FW,La Liga,Valencia,23
Moussa Dembélé,FW,La Liga,Atlético Madrid,24
Ousmane Dembélé,FW,La Liga,Barcelona,23
Sergiño Dest,DF,La Liga,Barcelona,20
Deyverson,FW,La Liga,Alavés,29
Abdoulay Diaby,MF,La Liga,Getafe,29
Mouctar Diakhaby,DF,La Liga,Valencia,24
Víctor Díaz,DF,La Liga,Granada,32
Papakouli Diop,MF,La Liga,Eibar,34
Djené,DF,La Liga,Getafe,29
Marko Dmitrović,GK,La Liga,Eibar,29
Jaume Doménech,GK,La Liga,Valencia,30
John Donald,DF,La Liga,Elche,20
Idrissa Doumbia,MF,La Liga,Huesca,22
Domingos Duarte,DF,La Liga,Granada,25
Óscar Duarte,DF,La Liga,Levante,31
Rubén Duarte,DF,La Liga,Alavés,25
Hugo Duro,FW,La Liga,Real Madrid,21
Aritz Elustondo,DF,La Liga,Real Sociedad,26
Rodrigo Ely,DF,La Liga,Alavés,27
Emerson,DF,La Liga,Betis,22
Youssef En-Nesyri,FW,La Liga,Sevilla,23
Sergi Enrich,FW,La Liga,Eibar,31
Dani Escriche,FW,La Liga,Huesca,22
Sergio Escudero,DF,La Liga,Sevilla,31
Alfonso Espino,DF,La Liga,Cádiz,29
Esquerdo,MF,La Liga,Valencia,22
Pervis Estupiñán,DF,La Liga,Villarreal,23
Xabier Etxeita,DF,La Liga,Getafe,33
Edu Expósito,MF,La Liga,Eibar,24
Fali,DF,La Liga,Cádiz,27
Ansu Fati,FW,La Liga,Barcelona,18
Nabil Fekir,MF,La Liga,Betis,27
Felipe,DF,La Liga,Atlético Madrid,31
João Félix,FW,La Liga,Atlético Madrid,21
Aitor Fernández,GK,La Liga,Levante,29
Álex Fernández,MF,La Liga,Cádiz,28
Álvaro Fernández,GK,La Liga,Huesca,22
Andrés Fernández,GK,La Liga,Huesca,34
Augusto Fernández,MF,La Liga,Cádiz,34
Carlos Fernández,FW,La Liga,Sevilla,24
Carlos Fernández,FW,La Liga,Real Sociedad,24
Joaquín Fernández,DF,La Liga,Valladolid,24
Fernando,MF,La Liga,Sevilla,33
David Ferreiro,FW,La Liga,Huesca,32
Facundo Ferreyra,FW,La Liga,Celta Vigo,29
Fidel,MF,La Liga,Elche,31
Junior Firpo,DF,La Liga,Barcelona,24
Kingsley Fobi,DF,La Liga,Granada,22
Ramón Folch,MF,La Liga,Elche,31
José Fontán,DF,La Liga,Celta Vigo,21
Dimitri Foulquier,DF,La Liga,Granada,27
Juan Foyth,MF,La Liga,Villarreal,23
Jorge de Frutos,MF,La Liga,Levante,24
Ramiro Funes Mori,DF,La Liga,Villarreal,29
Javi Galán,DF,La Liga,Huesca,26
Enric Gallego,FW,La Liga,Osasuna,34
Kévin Gameiro,FW,La Liga,Valencia,33
Aleix García,MF,La Liga,Eibar,23
Borja García,MF,La Liga,Huesca,30
Dani García,MF,La Liga,Athletic Club,30
David García,DF,La Liga,Osasuna,27
Manu García,MF,La Liga,Alavés,34
Raúl García,DF,La Liga,Valladolid,31
Raúl García,FW,La Liga,Athletic Club,34
Rubén García,MF,La Liga,Osasuna,27
Sergi García,MF,La Liga,Alavés,21
Unai García,DF,La Liga,Osasuna,29
Mario Gaspar,DF,La Liga,Villarreal,30
David Gil,GK,La Liga,Cádiz,27
Álvaro Giménez,FW,La Liga,Cádiz,29
Dani Gómez,FW,La Liga,Levante,22
Ibai Gómez,FW,La Liga,Athletic Club,31
Maxi Gómez,FW,La Liga,Valencia,24
Moi Gómez,MF,La Liga,Villarreal,26
Papu Gómez,FW,La Liga,Sevilla,33
Sergi Gómez,DF,La Liga,Sevilla,28
Sergio Gómez,FW,La Liga,Huesca,20
Maxime Gonalons,MF,La Liga,Granada,31
Alfonso González,MF,La Liga,Celta Vigo,21
Bruno González,DF,La Liga,Valladolid,30
Diego González,DF,La Liga,Elche,26
Sergio González,MF,La Liga,Cádiz,23
Urko González,MF,La Liga,Real Sociedad,19
Andoni Gorosabel,DF,La Liga,Real Sociedad,24
Antoine Griezmann,FW,La Liga,Barcelona,29
Andrés Guardado,MF,La Liga,Betis,34
Sergi Guardiola,FW,La Liga,Valladolid,29
Nemanja Gudelj,MF,La Liga,Sevilla,29
Gonçalo Guedes,MF,La Liga,Valencia,24
Ander Guevara,MF,La Liga,Real Sociedad,23
John Guidetti,FW,La Liga,Alavés,28
Hugo Guillamón,DF,La Liga,Valencia,21
Jon Guridi,MF,La Liga,Real Sociedad,26
Raúl Guti,MF,La Liga,Elche,24
Marcos Mauro López Gutiérrez,DF,La Liga,Cádiz,30
Munir El Haddadi,FW,La Liga,Sevilla,25
Eden Hazard,FW,La Liga,Real Madrid,30
Mario Hermoso,DF,La Liga,Atlético Madrid,25
Aridane Hernández,DF,La Liga,Osasuna,31
Héctor Herrera,MF,La Liga,Atlético Madrid,30
Sergio Herrera,GK,La Liga,Osasuna,27
Yangel Herrera,MF,La Liga,Granada,23
Pablo Hervías,DF,La Liga,Valladolid,27
Jordan Holsgrove,MF,La Liga,Celta Vigo,21
Vicente Iborra,MF,La Liga,Villarreal,33
Oussama Idrissi,FW,La Liga,Sevilla,25
Borja Iglesias,FW,La Liga,Betis,28
Juan Iglesias,DF,La Liga,Getafe,22
Asier Illarramendi,MF,La Liga,Real Sociedad,30
Pablo Insua,DF,La Liga,Huesca,27
Takashi Inui,MF,La Liga,Eibar,32
Alexander Isak,FW,La Liga,Real Sociedad,21
Isco,MF,La Liga,Real Madrid,28
Jairo Izquierdo,MF,La Liga,Cádiz,27
Saidy Janko,DF,La Liga,Valladolid,25
Adnan Januzaj,MF,La Liga,Real Sociedad,26
Jason,MF,La Liga,Valencia,26
Luis Javier Suárez,FW,La Liga,Granada,23
Ángel Jiménez,GK,La Liga,Granada,18
Joaquín,FW,La Liga,Betis,39
Frenkie de Jong,MF,La Liga,Barcelona,23
Luuk de Jong,FW,La Liga,Sevilla,30
Jony,MF,La Liga,Osasuna,29
Joan Jordán,MF,La Liga,Sevilla,26
Josan,MF,La Liga,Elche,31
Willian José,FW,La Liga,Real Sociedad,29
Joselu,FW,La Liga,Alavés,30
Josema,DF,La Liga,Elche,24
Jota,FW,La Liga,Valladolid,21
Jota,MF,La Liga,Alavés,29
Luka Jović,FW,La Liga,Real Madrid,23
Juan,MF,La Liga,Granada,23
Juanmi,FW,La Liga,Betis,27
Vinicius Júnior,FW,La Liga,Real Madrid,20
Jens Jønsson,MF,La Liga,Cádiz,28
Damian Kądzior,FW,La Liga,Eibar,28
Lee Kangin,FW,La Liga,Valencia,20
Stephane Keller,DF,La Liga,Alavés,19
Kenedy,FW,La Liga,Granada,25
Kike,FW,La Liga,Eibar,31
Giorgi Kochorashvili,MF,La Liga,Levante,21
Kenan Kodro,FW,La Liga,Athletic Club,27
Kenan Kodro,FW,La Liga,Valladolid,27
Koba Koindredi,MF,La Liga,Valencia,19
Koke,MF,La Liga,Atlético Madrid,29
Geoffrey Kondogbia,MF,La Liga,Atlético Madrid,28
Geoffrey Kondogbia,MF,La Liga,Valencia,28
Youssouf Koné,DF,La Liga,Elche,25
Jules Koundé,DF,La Liga,Sevilla,22
Toni Kroos,MF,La Liga,Real Madrid,31
Takefusa Kubo,MF,La Liga,Getafe,19
Takefusa Kubo,MF,La Liga,Villarreal,19
Kuki,MF,La Liga,Valladolid,22
Víctor Laguardia,DF,La Liga,Alavés,31
Diego Lainez,FW,La Liga,Betis,20
Toni Lato,DF,La Liga,Valencia,23
Robin Le Normand,DF,La Liga,Real Sociedad,24
Jeremías Ledesma,GK,La Liga,Cádiz,28
Florian Lejeune,DF,La Liga,Alavés,29
Iñigo Lekue,DF,La Liga,Athletic Club,27
Thomas Lemar,MF,La Liga,Atlético Madrid,25
Clément Lenglet,DF,La Liga,Barcelona,25
Lautado de León,MF,La Liga,Celta Vigo,20
Pedro León,MF,La Liga,Eibar,34
Sergio León,FW,La Liga,Levante,32
Diego Llorente,DF,La Liga,Real Sociedad,27
Marcos Llorente,MF,La Liga,Atlético Madrid,26
Renan Lodi,DF,La Liga,Atlético Madrid,22
Pedro López Muñoz,DF,La Liga,Huesca,37
Adrián López,FW,La Liga,Osasuna,33
Javi López,DF,La Liga,Alavés,19
Roberto López,MF,La Liga,Real Sociedad,20
Unai López,MF,La Liga,Athletic Club,25
Anthony Lozano,FW,La Liga,Cádiz,27
Jeison Lucumí,FW,La Liga,Elche,25
José Luis Gayà,DF,La Liga,Valencia,25
José Luis Morales,FW,La Liga,Levante,33
Luisinho,DF,La Liga,Huesca,35
Luismi,MF,La Liga,Elche,28
Darwin Machís,FW,La Liga,Granada,28
Pablo Maffeo,DF,La Liga,Huesca,23
Abdallahi Mahmoud,MF,La Liga,Alavés,20
Nemanja Maksimović,MF,La Liga,Getafe,26
Filip Malbašić,FW,La Liga,Cádiz,28
Hugo Mallo,DF,La Liga,Celta Vigo,29
Mickael Malsa,MF,La Liga,Levante,25
Aïssa Mandi,DF,La Liga,Betis,29
Eliaquim Mangala,DF,La Liga,Valencia,30
Maranhão,FW,La Liga,Valladolid,24
Marcelo,DF,La Liga,Real Madrid,32
Iván Marcone,MF,La Liga,Elche,30
Óscar de Marcos,MF,La Liga,Athletic Club,31
José Mari,MF,La Liga,Cádiz,33
José María Giménez,DF,La Liga,Atlético Madrid,26
Mariano,FW,La Liga,Real Madrid,27
Adrián Marín,DF,La Liga,Alavés,24
Adrián Marín,DF,La Liga,Granada,24
Roger Martí,FW,La Liga,Levante,30
Aarón Martín,DF,La Liga,Celta Vigo,23
Álex Martín,DF,La Liga,Cádiz,23
Iñigo Martínez,DF,La Liga,Athletic Club,29
Javi Martínez,MF,La Liga,Osasuna,21
Jordi Masip,GK,La Liga,Valladolid,32
Jaime Mata,FW,La Liga,Getafe,32
Borja Mayoral,FW,La Liga,Real Madrid,23
Gonzalo Melero,MF,La Liga,Levante,27
Brais Méndez,MF,La Liga,Celta Vigo,24
Édgar Méndez,MF,La Liga,Alavés,31
Eñaut Mendía,FW,La Liga,Eibar,21
Ferland Mendy,DF,La Liga,Real Madrid,25
Mikel Merino,MF,La Liga,Real Sociedad,24
Martín Merquelanz,FW,La Liga,Real Sociedad,25
Roque Mesa,MF,La Liga,Valladolid,31
Lionel Messi,FW,La Liga,Barcelona,33
Omenuke Mfulu,MF,La Liga,Elche,26
Míchel,MF,La Liga,Valladolid,32
Éder Militão,DF,La Liga,Real Madrid,23
Luis Milla,MF,La Liga,Granada,26
Pere Milla,FW,La Liga,Elche,28
Alejandro Millán,FW,La Liga,Villarreal,21
Santi Mina,FW,La Liga,Celta Vigo,25
Óscar Mingueza,DF,La Liga,Barcelona,21
Rafa Mir,FW,La Liga,Huesca,23
Jorge Miramón,DF,La Liga,Levante,31
Juan Miranda,DF,La Liga,Betis,21
Luka Modrić,MF,La Liga,Real Madrid,35
Johan Mojica,DF,La Liga,Elche,28
Guillem Molina Gutiérrez,DF,La Liga,Valencia,20
Jorge Molina,FW,La Liga,Granada,38
Victor Mollejo,MF,La Liga,Getafe,20
Jon Moncayola,MF,La Liga,Osasuna,22
Nacho Monreal,DF,La Liga,Real Sociedad,35
Ángel Montoro,MF,La Liga,Granada,32
Martín Montoya,DF,La Liga,Betis,29
Emre Mor,FW,La Liga,Celta Vigo,23
Jon Morcillo,FW,La Liga,Athletic Club,22
Álex Moreno,DF,La Liga,Betis,27
Gerard Moreno,FW,La Liga,Villarreal,28
Tete Morente,MF,La Liga,Elche,24
Ilaix Moriba,MF,La Liga,Barcelona,18
Loren Morón,FW,La Liga,Betis,27
Pedro Mosquera,MF,La Liga,Huesca,32
Javi Moyano,DF,La Liga,Valladolid,35
Iker Muniain,MF,La Liga,Athletic Club,28
Aihen Muñoz,DF,La Liga,Real Sociedad,23
Joaquín Muñoz,FW,La Liga,Huesca,21
