team,year,country,pts,value
Sporting Gijón ,10/11,La Liga,47,58.1
Málaga CF ,10/11,La Liga,46,58.3
Racing Santander ,10/11,La Liga,46,52.7
Real Zaragoza ,10/11,La Liga,45,64.3
Real Sociedad ,10/11,La Liga,45,50.9
Levante UD ,10/11,La Liga,45,31.7
Getafe CF ,10/11,La Liga,44,76.4
RCD Mallorca ,10/11,La Liga,44,52.8
Deportivo de La Coruña ,10/11,La Liga,43,64.6
Hércules CF ,10/11,La Liga,35,52.7
UD Almería ,10/11,La Liga,30,66.2
