stat,1920,2021,change
npG+A,1.3,0.71,-0.45
npxG,0.36,0.31,-0.14
xA,0.35,0.27,-0.23
Shots,2.05,2.19,0.07
npxG/Shot,0.18,0.12,-0.33
SCA,4.92,5.29,0.08
Progressive Passes,5.16,6.6,0.28
Total Progressive Yards,382,422,0.1
CPA+PPA,4.09,6.04,0.48
Touches,75.7,78.5,0.04
Touches Pen Area,5.67,5.53,-0.02
Pass Targets,76.6,74.1,-0.03
Turnover %,17.8,18.9,0.06
Dribble Success %,56.7,54.1,-0.05
Players Dribbled Past,3.94,3.96,0.01
